brand,avg_price,avg_stockout_rate,lost_revenue,product_count
Naked,67.52941176470588,0.4117647058823529,2020.0,17
Lace,103.1891891891892,0.1027027027027027,1998.0,37
Na-Kd,38.53846153846154,0.521978021978022,1975.0,13
Topshoplove,42.18181818181818,0.5318181818181817,1969.0,11
Carhartt,94.1304347826087,0.18478260869565216,1965.0,23
Bershkathe,25.917560975609753,0.43089430894308944,1947.32,41
Vilaall,43.785714285714285,0.45578231292517,1926.0,14
Pull&Bear,24.838,0.5202777777777778,1878.32,30
Selected,82.8125,0.23125,1845.0,16
Public,30.697,0.2011904761904762,1780.75,50
Monkidaywear,38.833333333333336,0.37477152477152476,1731.0,18
Nobody,47.03125,0.16741071428571427,1681.0,32
Stradivariusthe,25.472758620689653,0.4620689655172414,1676.35,29
Weekdaythe,36.73684210526316,0.531578947368421,1671.0,19
Mangothe,39.304375,0.47966269841269843,1665.62,16
Gym,40.54545454545455,0.29545454545454547,1665.0,22
Pull&Bearthe,24.261153846153846,0.5737179487179488,1638.49,26
Pull&Bearthrow,48.37538461538462,0.5076923076923077,1627.7,13
Damson,65.73333333333333,0.3022222222222222,1567.0,15
Monkiyour,25.0,0.5453514739229025,1511.0,14
Tammy,28.868852459016395,0.1366120218579235,1501.0,61
Puma,26.133333333333333,0.5516666666666666,1499.0,15
Monki,22.384615384615383,0.6170829170829172,1478.0,13
Y.A.S,68.05263157894737,0.20526315789473684,1411.0,19
Lost,33.45454545454545,0.18181818181818182,1370.0,11
Simmi,44.25581395348837,0.1434108527131783,1293.0,43
Chelsea,38.5,0.38333333333333336,1292.0,18
Stradivariusthrow,67.924,0.28,1155.79,15
Piecesthe,31.31578947368421,0.3464912280701754,1144.0,19
Love,61.3125,0.22916666666666666,1130.0,16
South,23.414634146341463,0.15969802555168408,1120.0,41
Under,42.36363636363637,0.24444444444444444,1111.0,33
Yoursthe,28.220769230769232,0.459004884004884,1086.62,13
Pink,32.10526315789474,0.2982456140350877,1077.0,19
Femme,35.5,0.25,1035.0,24
Bershkaall,27.92875,0.475,999.73,16
Onlythrow,68.8125,0.15625,969.0,16
Monkibasket-Worthy,25.375,0.3436147186147186,968.0,16
Cotton,31.073333333333334,0.5392857142857143,961.7,12
Band,87.91666666666667,0.16666666666666666,950.0,12
Pimkiethe,25.561875,0.515625,928.98,16
Esmee,25.857142857142858,0.35714285714285715,912.0,14
Topshopyour,30.083333333333332,0.4369047619047619,908.0,12
Weekday,24.846153846153847,0.5178571428571429,899.0,13
Onlysoftwear,26.923076923076923,0.4641025641025641,892.0,13
Spanx,36.0,0.543939393939394,878.0,11
Stradivariusexclusive,29.823333333333334,0.3761904761904762,873.7,12
M,37.833333333333336,0.3888888888888889,868.0,12
Aria,56.72727272727273,0.09595959595959595,836.0,33
Yours,25.366875,0.30416666666666664,815.75,16
Pull&Bearjacket,47.32333333333333,0.26666666666666666,807.84,12
Monkipart,34.733333333333334,0.2277056277056277,796.0,15
Y.A.Sall,90.61538461538461,0.1282051282051282,792.0,13
Stradivariusshort,18.087142857142858,0.3976190476190476,776.6899999999999,21
Iisla,26.666666666666668,0.369047619047619,732.0,12
Jjxx,27.214285714285715,0.44523809523809527,722.0,14
Stradivariusa,26.40833333333333,0.39999999999999997,685.8199999999999,12
Neon,36.86666666666667,0.24666666666666667,682.0,15
Dickies,38.666666666666664,0.3333333333333333,670.0,12
Anaya,78.27586206896552,0.054022988505747126,670.0,29
Jdy,17.615384615384617,0.5243589743589744,659.0,13
Bershkajacket,53.934444444444445,0.16666666666666666,649.88,18
Sixth,63.8,0.10476190476190476,645.0,35
Stradivariusall,28.76076923076923,0.3692307692307692,635.8,13
Onlythe,28.416666666666668,0.3416666666666666,623.0,12
Ax,44.785714285714285,0.17857142857142858,615.0,14
Rebellious,29.181818181818183,0.1515151515151515,598.0,22
Dr,54.705882352941174,0.09923273657289003,595.0,17
Monkiwaist-Up,22.76923076923077,0.29670329670329665,583.0,13
Bye,29.285714285714285,0.2619047619047619,575.0,14
Pull&Bearwaist-Up,19.74083333333333,0.4978174603174603,565.77,12
Tfncbride,68.42857142857143,0.09523809523809523,565.0,14
Pull&Bearall,28.347857142857144,0.27142857142857146,563.84,14
Gilly,24.4,0.18400000000000002,561.0,25
Native,35.390243902439025,0.07926829268292683,551.0,41
Nikeyour,48.3029411764706,0.12640056022408963,532.2,17
Nikecan'T,67.81666666666666,0.09777777777777778,519.6,15
Armani,135.0,0.08263888888888889,500.0,12
Reebok,28.5,0.278125,496.0,16
Ivory,18.375,0.050075235597439545,434.0,16
Something,55.0,0.036630036630036625,424.0,26
Signature,38.6875,0.1375,424.0,16
Vilabride,51.125,0.08482142857142858,396.0,16
Piecesdo,32.583333333333336,0.16666666666666666,389.0,12
Jdypart,26.166666666666668,0.19803675856307434,388.0,12
Lindex,17.363636363636363,0.36363636363636365,348.0,11
Starletexclusive,136.36363636363637,0.0303030303030303,340.0,11
Glamorousdaywear,36.93333333333333,0.08888888888888889,316.0,15
Stradivariuswaist-Up,18.091,0.16,286.9,20
Vai21Exclusive,17.285714285714285,0.25,285.0,14
Glamorousall,37.53846153846154,0.08974358974358973,269.0,13
Bershkacosy,31.073333333333334,0.20833333333333334,266.9,12
Bershkastand,64.53545454545454,0.09090909090909091,231.95999999999998,11
Vansthe,29.894736842105264,0.05789473684210527,199.0,19
Dickiesyour,29.294117647058822,0.08235294117647059,195.0,17
Hiitworkout,17.916666666666668,0.13958333333333334,176.0,24
Levi'Sthe,45.333333333333336,0.10833333333333334,162.0,12
Monkidaytime,37.18181818181818,0.06168831168831169,155.0,11
Pumaexclusive,32.333333333333336,0.08333333333333333,125.0,12
Pull&Bearpart,27.428125,0.1125,123.93999999999998,16
Afrmpart,56.84615384615385,0.010989010989010988,55.0,13
Amy,100.0,0.0,0.0,12
